"Survey Date","Hospital Region","Hospital Region Code","Facility Type","Facility Filter","All Beds","Inpatient Beds","Inpatient Beds Used","Inpatient Beds Available","ICU Beds","ICU Beds Used","ICU Beds Available","Vents","Vents Used","Vents Available","Pos COVID","PUI Pending","Pos COVID PUI Pending","All Beds (Imputed)","Inpatient Beds (Imputed)","Inpatient Beds Used (Imputed)","Inpatient Beds Available (Imputed)","ICU Beds (Imputed)","ICU Beds Used (Imputed)","ICU Beds Available (Imputed)","Vents (Imputed)","Vents Used (Imputed)","Vents Available (Imputed)","Pos COVID (Imputed)","PUI Pending (Imputed)","Pos COVID PUI Pending (Imputed)"
04/06/2020,Gulf Coast,4,GACH,1,49,43,29,14,6,5,1,7,0,7,,,,49,43,29,14,6,5,1,7,0,7,,,
04/06/2020,Interior,6,GACH,1,94,81,42,39,13,2,11,15,0,15,,,,94,81,42,39,13,2,11,15,0,15,,,
04/06/2020,Matanuska-Susitna,3,GACH,1,192,125,50,75,14,9,5,14,4,10,,,,192,125,50,75,14,9,5,14,4,10,,,
04/06/2020,Northern,2,CAH,1,79,43,16,27,0,0,0,15,0,15,,,,79,43,16,27,0,0,0,15,0,15,,,
04/06/2020,Southeast,5,CAH,1,79,75,32,43,12,2,10,25,0,25,,,,79,75,32,43,12,2,10,25,0,25,,,
04/06/2020,Southeast,5,GACH,1,81,56,13,43,9,1,8,15,0,15,,,,81,56,13,43,9,1,8,15,0,15,,,
04/06/2020,Southwest,1,CAH,1,26,12,1,11,0,0,0,2,0,2,,,,26,12,1,11,0,0,0,2,0,2,,,
04/06/2020,Southwest,1,GACH,1,62,45,10,35,8,0,8,4,0,4,,,,62,45,10,35,8,0,8,4,0,4,,,
04/07/2020,Anchorage,7,GACH,1,909,724,405,319,92,55,37,138,22,116,,,,909,724,405,319,92,55,37,138,22,116,,,
04/07/2020,Anchorage,7,LTACH,0,56,30,22,8,11,3,8,24,0,24,,,,56,30,22,8,11,3,8,24,0,24,,,
04/07/2020,Anchorage,7,Psych,0,116,86,50,36,0,0,0,0,0,0,,,,116,86,50,36,0,0,0,0,0,0,,,
04/07/2020,Gulf Coast,4,CAH,1,130,109,11,98,4,1,3,17,0,17,,,,130,109,11,98,4,1,3,17,0,17,,,
04/07/2020,Gulf Coast,4,GACH,1,49,43,30,13,6,5,1,7,0,7,,,,49,43,30,13,6,5,1,7,0,7,,,
04/07/2020,Interior,6,GACH,1,94,81,41,40,13,1,12,15,1,14,,,,94,81,41,40,13,1,12,15,1,14,,,
04/07/2020,Matanuska-Susitna,3,GACH,1,192,125,50,75,14,6,8,14,5,9,,,,192,125,50,75,14,6,8,14,5,9,,,
04/07/2020,Northern,2,CAH,1,120,43,21,22,0,0,0,15,0,15,,,,120,43,21,22,0,0,0,15,0,15,,,
04/07/2020,Southeast,5,CAH,1,79,75,36,39,12,2,10,25,0,25,,,,79,75,36,39,12,2,10,25,0,25,,,
04/07/2020,Southeast,5,GACH,1,81,56,12,44,9,3,6,15,0,15,,,,81,56,12,44,9,3,6,15,0,15,,,
04/07/2020,Southwest,1,CAH,1,26,12,1,11,0,0,0,2,0,2,,,,26,12,1,11,0,0,0,2,0,2,,,
04/07/2020,Southwest,1,GACH,1,62,45,13,32,8,0,8,4,0,4,,,,62,45,13,32,8,0,8,4,0,4,,,
04/08/2020,Anchorage,7,GACH,1,378,724,183,140,36,19,17,167,12,155,,,,909,724,410,314,92,54,38,167,12,155,,,
04/08/2020,Anchorage,7,LTACH,0,56,30,22,8,11,3,8,24,0,24,,,,56,30,22,8,11,3,8,24,0,24,,,
04/08/2020,Anchorage,7,Psych,0,116,86,58,28,0,0,0,0,0,0,,,,116,86,58,28,0,0,0,0,0,0,,,
04/08/2020,Gulf Coast,4,CAH,1,130,109,14,95,4,0,4,17,0,17,,,,130,109,14,95,4,0,4,17,0,17,,,
04/08/2020,Gulf Coast,4,GACH,1,49,43,29,14,6,5,1,10,0,10,,,,49,43,29,14,6,5,1,10,0,10,,,
04/08/2020,Interior,6,GACH,1,94,81,37,44,13,5,8,15,0,15,,,,94,81,37,44,13,5,8,15,0,15,,,
04/08/2020,Matanuska-Susitna,3,GACH,1,192,125,49,76,14,7,7,14,2,12,,,,192,125,49,76,14,7,7,14,2,12,,,
04/08/2020,Northern,2,CAH,1,120,78,14,64,8,0,8,24,0,24,,,,120,78,14,64,8,0,8,24,0,24,,,
04/08/2020,Southeast,5,CAH,1,79,75,30,45,12,3,9,25,0,25,,,,79,75,30,45,12,3,9,25,0,25,,,
04/08/2020,Southeast,5,GACH,1,81,56,20,36,9,3,6,15,0,15,,,,81,56,20,36,9,3,6,15,0,15,,,
04/08/2020,Southwest,1,CAH,1,26,12,0,12,0,0,0,2,0,2,,,,26,12,0,12,0,0,0,2,0,2,,,
04/08/2020,Southwest,1,GACH,1,62,45,14,31,8,0,8,4,0,4,,,,62,45,14,31,8,0,8,4,0,4,,,
04/09/2020,Anchorage,7,GACH,1,909,724,411,313,92,51,41,138,18,120,,,,909,724,411,313,92,51,41,138,18,120,,,
04/09/2020,Anchorage,7,LTACH,0,56,30,26,4,11,3,8,24,0,24,,,,56,30,26,4,11,3,8,24,0,24,,,
04/09/2020,Anchorage,7,Psych,0,116,86,56,30,0,0,0,0,0,0,,,,116,86,56,30,0,0,0,0,0,0,,,
04/09/2020,Gulf Coast,4,CAH,1,130,109,15,94,4,1,3,17,0,17,,,,130,109,15,94,4,1,3,17,0,17,,,
04/09/2020,Gulf Coast,4,GACH,1,49,43,35,8,6,4,2,10,0,10,,,,49,43,35,8,6,4,2,10,0,10,,,
04/09/2020,Interior,6,GACH,1,94,81,44,37,13,4,9,15,0,15,,,,94,81,44,37,13,4,9,15,0,15,,,
04/09/2020,Matanuska-Susitna,3,GACH,1,192,125,52,73,14,7,7,14,4,10,,,,192,125,52,73,14,7,7,14,4,10,,,
04/09/2020,Northern,2,CAH,1,135,95,15,80,8,0,8,24,0,24,,,,135,95,15,80,8,0,8,24,0,24,,,
04/09/2020,Southeast,5,CAH,1,79,75,28,47,12,1,11,25,0,25,,,,79,75,28,47,12,1,11,25,0,25,,,
04/09/2020,Southeast,5,GACH,1,81,56,16,40,9,5,4,15,0,15,,,,81,56,16,40,9,5,4,15,0,15,,,
04/09/2020,Southwest,1,CAH,1,26,12,1,11,0,0,0,2,0,2,,,,26,12,1,11,0,0,0,2,0,2,,,
04/09/2020,Southwest,1,GACH,1,62,45,14,31,8,0,8,4,0,4,,,,62,45,14,31,8,0,8,4,0,4,,,
04/10/2020,Anchorage,7,GACH,1,909,724,413,311,92,54,38,134,26,108,,,,909,724,413,311,92,54,38,134,26,108,,,
04/10/2020,Anchorage,7,LTACH,0,56,30,28,2,11,3,8,24,0,24,,,,56,30,28,2,11,3,8,24,0,24,,,
04/10/2020,Anchorage,7,Psych,0,116,86,57,29,0,0,0,0,0,0,,,,116,86,57,29,0,0,0,0,0,0,,,
04/10/2020,Gulf Coast,4,CAH,1,130,109,20,89,4,1,3,17,0,17,,,,130,109,20,89,4,1,3,17,0,17,,,
04/10/2020,Gulf Coast,4,GACH,1,49,43,29,14,6,4,2,10,0,10,,,,49,43,29,14,6,4,2,10,0,10,,,
04/10/2020,Interior,6,GACH,1,94,81,38,43,13,5,8,15,0,15,,,,94,81,38,43,13,5,8,15,0,15,,,
04/10/2020,Matanuska-Susitna,3,GACH,1,192,125,47,78,14,8,6,14,3,11,,,,192,125,47,78,14,8,6,14,3,11,,,
04/10/2020,Northern,2,CAH,1,135,95,13,82,8,0,8,24,0,24,,,,135,95,13,82,8,0,8,24,0,24,,,
04/10/2020,Southeast,5,CAH,1,79,75,28,47,12,2,10,25,0,25,,,,79,75,28,47,12,2,10,25,0,25,,,
04/10/2020,Southeast,5,GACH,1,81,56,22,34,9,4,5,15,0,15,,,,81,56,22,34,9,4,5,15,0,15,,,
04/10/2020,Southwest,1,CAH,1,26,12,3,9,0,0,0,2,0,2,,,,26,12,3,9,0,0,0,2,0,2,,,
04/10/2020,Southwest,1,GACH,1,62,45,13,32,8,0,8,4,0,4,,,,62,45,13,32,8,0,8,4,0,4,,,
04/11/2020,Anchorage,7,GACH,1,909,724,422,302,92,58,34,134,26,108,,,,909,724,422,302,92,58,34,134,26,108,,,
04/11/2020,Anchorage,7,LTACH,0,56,30,28,2,11,3,8,24,0,24,,,,56,30,28,2,11,3,8,24,0,24,,,
04/11/2020,Anchorage,7,Psych,0,116,86,58,28,0,0,0,0,0,0,,,,116,86,58,28,0,0,0,0,0,0,,,
04/11/2020,Gulf Coast,4,CAH,1,140,107,20,87,4,0,4,16,0,16,,,,140,107,20,87,4,0,4,16,0,16,,,
04/11/2020,Gulf Coast,4,GACH,1,49,43,25,18,6,2,4,9,0,9,,,,49,43,25,18,6,2,4,9,0,9,,,
04/11/2020,Interior,6,GACH,1,94,81,35,46,13,8,5,15,0,15,,,,94,81,35,46,13,8,5,15,0,15,,,
04/11/2020,Matanuska-Susitna,3,GACH,1,192,125,51,74,14,6,8,14,2,12,,,,192,125,51,74,14,6,8,14,2,12,,,
04/11/2020,Northern,2,CAH,1,135,95,15,80,8,0,8,24,0,24,,,,135,95,15,80,8,0,8,24,0,24,,,
04/11/2020,Southeast,5,CAH,1,79,75,35,40,12,2,10,25,0,25,,,,79,75,35,40,12,2,10,25,0,25,,,
04/11/2020,Southeast,5,GACH,1,57,46,18,28,9,5,4,15,0,15,,,,57,46,18,28,9,5,4,15,0,15,,,
04/11/2020,Southwest,1,CAH,1,26,12,3,9,0,0,0,2,0,2,,,,26,12,3,9,0,0,0,2,0,2,,,
04/11/2020,Southwest,1,GACH,1,62,45,8,37,8,0,8,4,0,4,,,,62,45,8,37,8,0,8,4,0,4,,,
04/12/2020,Anchorage,7,GACH,1,909,724,417,307,92,58,34,137,23,114,,,,909,724,417,307,92,58,34,137,23,114,,,
04/12/2020,Anchorage,7,LTACH,0,56,30,27,3,11,3,8,24,0,24,,,,56,30,27,3,11,3,8,24,0,24,,,
04/12/2020,Anchorage,7,Psych,0,116,86,58,28,0,0,0,0,0,0,,,,116,86,58,28,0,0,0,0,0,0,,,
04/12/2020,Gulf Coast,4,CAH,1,140,107,20,87,4,0,4,16,0,16,,,,140,107,20,87,4,0,4,16,0,16,,,
